title,authors,year,venue,url,abstract,method,model_family,scale,intervention_type,corpus_data,primary_metric,main_claim,relation_to_candidate_a,tier
"Explorations of Self-Repair in Language Models","Cody Rushing; Neel Nanda",2024,"ICML 2024","https://proceedings.mlr.press/v235/rushing24a.html","Ablated attention heads induce imperfect and prompt-variable self-repair across language-model families, partly through LayerNorm and anti-erasure neurons.","Attention-head ablation and direct-effect decomposition","Multiple language-model families","Multiple public LM scales","Attention-head ablation","Full pretraining distribution","Direct effect; self-repair fraction","Component damage is compensated nonuniformly and mechanism depends on architecture and prompt.","Important mechanistic-intervention background; not a checkpoint trajectory or damage-matched family comparison.",T2
"ShortGPT: Layers in Large Language Models Are More Redundant Than You Expect","Xin Men; Mingyu Xu; Qingyu Zhang; Qianhao Yuan; Bingning Wang; Hongyu Lin; Yaojie Lu; Xianpei Han; Weipeng Chen",2025,"Findings of ACL 2025","https://aclanthology.org/2025.findings-acl.1035/","Block Influence ranks low-impact layers for removal and enables training-free depth pruning.","Input-output cosine Block Influence and layer pruning","Llama; Baichuan; ChatGLM and others","Multi-billion parameter LMs","Layer removal","Multiple-choice and generation benchmarks","Block Influence; accuracy","Many final-model layers are redundant enough to prune.","Static redundancy/pruning context; no pretraining trajectory, independent runs, or damage matching.",T3
"The Unreasonable Ineffectiveness of the Deeper Layers","Andrey Gromov; Kushal Tirumala; Hassan Shapourian; Paulo Glorioso; Daniel A. Roberts",2025,"ICLR 2025","https://arxiv.org/abs/2403.17887","Many deeper layers can be removed and cheaply healed while preserving benchmark performance.","Layer pruning plus QLoRA healing","Llama/Mistral family models","Up to large open LMs","Layer deletion","Language benchmarks","Accuracy and perplexity after pruning/healing","Substantial depth redundancy exists in final pretrained LMs.","Strong static layer-removal background but not Candidate A's temporal or matched-control result.",T2
"SLEB: Streamlining LLMs through Redundancy Verification and Elimination of Transformer Blocks","Jiwon Song; Kyungseok Kim; Jaehoon Cho; Sangwook Kim; Jung-Woo Shin; Joonho Moon",2024,"arXiv:2402.09025","https://arxiv.org/abs/2402.09025","Calibration-based block elimination selects redundant transformer blocks for efficient LLM inference.","Iterative and greedy block elimination","Open LLMs","Billion-scale","Block deletion","Calibration text and downstream tasks","Perplexity/accuracy degradation","Output-grounded calibration can guide block removal.","Static pruning baseline; no training dynamics or top-1-family matching.",T2
"BlockPruner: Fine-grained Pruning for Large Language Models","Lei Zhong; Fei Wan; Ruijun Chen; Xiaojun Quan; Liang Li",2025,"Findings of ACL 2025","https://aclanthology.org/2025.findings-acl.262/","MHA and MLP sub-block pruning gives finer-grained structural compression than whole-layer deletion.","Perplexity-based MHA/MLP block pruning","Open LLMs","Billion-scale","Attention/MLP block pruning","LM calibration and benchmarks","Perplexity and downstream accuracy","Sub-layer granularity improves pruning trade-offs.","Adjacent structural-pruning work only.",T2
"As Easy as PIE: Understanding When Pruning Causes Language Models to Disagree","Pietro Tropeano; Maria Maistro; Tuukka Ruotsalo; Christina Lioma",2025,"Findings of NAACL 2025","https://aclanthology.org/2025.findings-naacl.364/","Pruning disproportionately changes predictions on a stable subset of difficult and influential examples.","Example-level disagreement analysis under pruning","BERT; BiLSTM","Encoder models","Weight/node/component pruning","Multiple NLP datasets","Prediction disagreement; accuracy","Aggregate accuracy hides concentrated prediction instability after pruning.","Conceptually close to token-level agreement but not layer-bypass trajectories.",T2
"Reducing Transformer Depth on Demand with Structured Dropout","Angela Fan; Edouard Grave; Armand Joulin",2020,"ICLR 2020","https://arxiv.org/abs/1909.11556","LayerDrop trains one transformer to support multiple inference depths.","Structured layer dropout during training","Transformer encoder-decoder","Standard MT/LM scales","Training-time layer dropout and inference removal","Translation/language tasks","Task accuracy/perplexity","Explicit training can make depth removal robust.","Background showing deletion robustness can be training-induced by objective; Candidate models were not LayerDrop-trained.",T2
"Accelerating Training of Transformer-Based Language Models with Progressive Layer Dropping","Xiaodong Zhang; Houxiang He",2020,"NeurIPS 2020","https://proceedings.neurips.cc/paper/2020/hash/a1140a3d0df1c81e24ae954d935e8926-Abstract.html","Progressively increasing layer dropping accelerates transformer training while preserving quality.","Scheduled layer dropping during training","Transformer language models","Standard pretrained transformers","Training-time stochastic layer deletion","Language-model corpora","Training cost and task quality","Layer reliance can be shaped by a dropout schedule.","Optimization background, not post-hoc robustness trajectory.",T2
"Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling","Stella Biderman et al.",2023,"ICML 2023","https://proceedings.mlr.press/v202/biderman23a.html","Pythia releases controlled model scales, checkpoints, and training details for studying learning dynamics.","Controlled public pretraining suite","Pythia","70M-12B","None; checkpoint resource","The Pile","Loss and downstream benchmarks","Open checkpoints enable causal and temporal analysis of pretraining.","Data/model resource underlying both Candidate A and closest collisions; not a competing finding.",T1
"Causal Mediation Analysis for Interpreting Neural NLP: The Case of Gender Bias","Jesse Vig; Sebastian Gehrmann; Yonatan Belinkov; Sharon Qian; Daniel Nevo; Yaron Singer; Stuart Shieber",2020,"NeurIPS 2020 Workshop / arXiv","https://arxiv.org/abs/2004.12265","Causal mediation interventions estimate how internal components mediate behavior.","Natural direct/indirect effects with interventions","Transformer NLP models","Encoder LMs","Activation/component intervention","Gender-bias prompts","Causal mediation effects","Internal interventions can support targeted causal attribution under explicit assumptions.","Mechanistic-intervention boundary context; Candidate A is aggregate robustness, not mediation.",T2
"Locating and Editing Factual Associations in GPT","Kevin Meng; David Bau; Alex Andonian; Yonatan Belinkov",2022,"NeurIPS 2022","https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html","Causal tracing localizes factual associations and rank-one editing modifies them.","Activation corruption/restoration and weight editing","GPT-style LMs","Up to GPT-J 6B","Activation patching and weight edit","Factual prompts","Causal tracing effect and edit efficacy","Specific MLP layers mediate factual recall.","Intervention methodology background; not robustness or training trajectory.",T2
"Towards Best Practices of Activation Patching in Language Models: Metrics and Methods","Fred Zhang; Neel Nanda",2023,"NeurIPS ATTRIB Workshop 2023 / arXiv","https://arxiv.org/abs/2309.16042","Activation-patching conclusions depend on corruption, metric, and patching choices.","Controlled activation-patching method comparison","GPT-2 small and interpretability tasks","Small LM","Activation patching","Synthetic and language prompts","Logit/probability/accuracy effects","Metric and protocol choices materially change intervention conclusions.","Supports Candidate A's assay-control motivation; no direct empirical collision.",T2
"Is This the Subspace You Are Looking For? An Interpretability Illusion for Subspace Activation Patching","Aleksandar Makelov; George Lange; Atticus Geiger; Neel Nanda",2024,"ICLR 2024","https://openreview.net/forum?id=Ebt7Qd7Jwy","Subspace patching can yield apparently causal directions that do not correspond to the claimed computation.","Counterexamples and subspace activation patching","Small transformers","Small LM","Activation subspace intervention","Algorithmic/language settings","Patching effect and subspace geometry","Intervention success alone can be an interpretability illusion.","Known-explanation/validity warning; not a layer robustness trajectory.",T2
"Causal Abstractions of Neural Networks","Atticus Geiger; Hanson Lu; Thomas Icard; Christopher Potts",2021,"NeurIPS 2021","https://proceedings.neurips.cc/paper/2021/hash/4f5c422f4d49a5a807eda27434231040-Abstract.html","Interchange interventions formalize when neural computations implement causal abstractions.","Interchange intervention training/evaluation","Neural NLP models","Small/medium","Activation interchange","Controlled reasoning/language tasks","Interchange intervention accuracy","Causal abstraction requires structured intervention correspondence.","Conceptual boundary for interchange; Candidate A makes no causal-abstraction claim.",T2
"Agreement-on-the-Line: Predicting the Performance of Neural Networks under Distribution Shift","Hyelin Baek; Yiding Jiang; Aditi Raghunathan; J. Zico Kolter",2022,"NeurIPS 2022","https://proceedings.neurips.cc/paper_files/paper/2022/hash/0fe2a3b2e26f6c11a6172ce93adf66e4-Abstract-Conference.html","Pairwise model agreement can predict out-of-distribution accuracy under certain shifts.","Cross-model prediction agreement analysis","Image classifiers","Multiple models","No internal intervention","Image distribution shifts","Top-1 agreement and accuracy","Prediction agreement is an established behavioral statistic with limits.","Conceptually related agreement metric; not token-level or perturbation trajectory.",T2
"On the Distance Between Two Neural Networks and the Stability of Learning","Jeremy Bernstein; Arash Vahdat; Yisong Yue; Ming-Yu Liu",2020,"NeurIPS 2020","https://proceedings.neurips.cc/paper/2020/hash/f4b31bee138ff5f7b84ce1575a738f95-Abstract.html","Deep relative trust bounds functional and gradient change using layerwise relative parameter perturbations.","Theory plus optimization experiments","MLPs; GANs; transformers; classifiers","Varied","Parameter perturbation","Training tasks","Relative functional/gradient distance","Euclidean parameter distance alone misses deep compositional perturbation structure.","Known theoretical reason raw norm need not determine functional damage.",T2
"Sparsifying Networks by Traversing Geodesics","Nikhil Raghavan; Matt Thomson",2020,"NeurIPS 2020 Workshop / arXiv","https://arxiv.org/abs/2012.09605","A function-space metric tensor maps weight perturbations to behavioral changes for pruning paths.","Information-geometric pruning","Neural classifiers","Small networks","Weight removal along geodesics","Vision data","Function-space path length and loss","Parameter perturbations should be evaluated through induced function geometry.","Known explanation for parameter/function mismatch; no LM trajectory.",T2
"APEX: Probing Neural Networks via Activation Perturbation","Tao Ren; Xiaoyu Luo; Qiongxiu Li",2026,"arXiv:2602.03586","https://arxiv.org/abs/2602.03586","Gaussian activation perturbations reveal output-distribution transitions and training biases.","Layer activation-noise sweeps","Neural classifiers and transformers","Varied","Activation noise","Image/language tasks","Escape noise and output divergence","Activation robustness is layer- and model-dependent.","Close activation-noise measurement context; no Pythia checkpoint family matching.",T3
"Rethinking Pruning Large Language Models: Benefits and Pitfalls of Reconstruction Error Minimization","Sungho Shin et al.",2024,"EMNLP 2024","https://aclanthology.org/2024.emnlp-main.433/","Local reconstruction objectives can misalign with end-to-end language-model quality during pruning.","Pruning-objective analysis","Open LLMs","Billion-scale","Weight pruning","Calibration text and benchmarks","Reconstruction error; perplexity; accuracy","Local perturbation proxies need not predict functional outcomes.","Supports output-grounded controls; not temporal Candidate A.",T2
"Investigating Layer Importance in Large Language Models","Aditya Zhang et al.",2024,"BlackboxNLP 2024","https://aclanthology.org/2024.blackboxnlp-1.42/","Layer ablations reveal nonuniform importance and interactions in LLMs.","Layer ablation sweeps","Open LLMs","Billion-scale","Layer removal","Language benchmarks","Perplexity and accuracy","Some layers are disproportionately important and layer effects interact.","Static layer-importance context; no trajectory/matching.",T2
"Evolving Subnetwork Training for Large Language Models","Anonymous/venue metadata verified on PMLR record",2024,"ICML 2024","https://proceedings.mlr.press/v235/li24bp.html","Training with evolving subnetworks reduces compute while retaining final quality.","Dynamic subnetwork training","Transformer LMs","Small-to-medium pretraining","Training-time structured subnetworks","Language corpora","Loss and training compute","Redundancy can be exploited during training with controlled budgets.","Background on trained robustness, not post-hoc intervention response.",T1
"The Junk DNA Hypothesis: Pruning Small Pre-Trained Weights Irreversibly and Monotonically Impairs Difficult Downstream Tasks","Zihang Yin et al.",2024,"ICML 2024","https://proceedings.mlr.press/v235/yin24c.html","Magnitude pruning can selectively impair difficult tasks even when aggregate effects look small.","Magnitude pruning and task-difficulty analysis","Pretrained transformers","Multiple scales","Weight pruning","Downstream benchmark strata","Accuracy by task difficulty","Small weights can be functionally important and mean metrics can hide selective damage.","General perturbation-importance warning; no checkpoint trajectory.",T2
"Analyzing Redundancy in Pretrained Transformer Models","Fahim Dalvi; Hassan Sajjad; Nadir Durrani; Yonatan Belinkov",2020,"EMNLP 2020","https://aclanthology.org/2020.emnlp-main.149/","Representation and neuron analyses show substantial redundancy in pretrained transformers.","Layer/neuron similarity and redundancy analysis","BERT/Transformer NLP models","Base models","Analysis and pruning","NLP tasks","Similarity and accuracy","Pretrained transformers contain redundant representations and units.","Foundational static redundancy context.",T2
